분류,제목,회사명,경력유무,학력,성별,연령,전공,장애인채용구분,우대조건,고용형태,직무,담당업무,직급,직책,근무지역,근무시간/요일,근무형태,복리후생,근무기간,급여조건,계약기간,작업환경,장애인편의시설,담당자명,연락처,이메일,접수기간,접수방법,전형일정,홈페이지,적합장애유형,부적합장애유형,기업정보.업종,기업정보.사원수,기업정보.대표자,기업정보.기업형태,기업정보.주소
연구 및 공학기술,(주)티아이티이엔지 기술연구소 연구원 채용의 건 (장애인 지원요망),(주)티아이티이엔지,관계없음,대졸(4년)-박사,,,,장애인만 채용,"경증 장애인 우선 채용, 출퇴근 가능자 우대",기간의 정함이 있는 근로계약 12개월,기술연구소 연구원,"메카설계, 펌웨어설계, 하드웨어설계",,,"(05702) 서울특별시 송파구 중대로 215, 신도빌딩 5층, 6층, 7층","주 5일 근무, (오전) 9시 00분 ~ (오후) 6시 00분",정규직 전환가능,"4대 보험 가입, 연차, 직장인 검진 실시, 질병/상해보험, 상여금, 10년 근속 포상 (금20돈), 중식비 (월 20만원)",12개월 (계약직 후 정규직 전환 검토),"연봉 36,000,000원 이상 ~ 60,000,000원 이하",1년,,,,02-3431-2370,saidaone@titeng.co.kr,~ 2024-08-09,자유양식 이력서 및 자기소개서 이메일 제출,서류전형 -> 채용면접 -> 최종합격자 선발,https://www.titeng.co.kr,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)']",['정신장애'],사무용 기계 및 장비 제조업,103 명,김주연,중소기업,"05702 서울특별시 송파구 중대로 215 (가락동, 신도빌딩 5층, 6층, 7층)"
미용·여행·숙박·음식·경비·돌봄·청소,[컬리] 사내카페 바리스타(장애사원) 채용,주식회사컬리,관계없음,학력무관,,,,장애인만 채용,"카페 음료, 베이커리 등 제조 및 메뉴 개발 가능자, 프렌차이즈, 디저트카페, 브런치카페 등 유사경력 보유자",계약직,사내 카페 운영,"커피 및 음료 제조, 재료 관리 및 기타 바리스타 업무",,,"서울특별시 강남구 테헤란로 133 (역삼동, 한국타이어빌딩)",주 5일 / 8:30분 ~ 17:30분 (1시간 휴게),주 5일 근무,,12개월,"시급 9,860원 이상 ~ 10,000원 이하",,"태블릿 PC상 시스템 운영, 별도 구두 소통 필요 없음",,,,,~ 20240816,"워크넷, 이메일",,https://www.ablejob.co.kr/recruit/market.kurly.com,"['지체장애(경증)', '청각장애(경증)']","['뇌병변장애(중증)', '정신장애']",과실류 도매업,2500 명,김슬아,중견기업,"06133 서울특별시 강남구 테헤란로 133 (역삼동, 한국타이어빌딩)"
미용·여행·숙박·음식·경비·돌봄·청소,[장애인만 채용] 신한투자증권 영업부 미화직 채용,신한투자증권(주）,관계없음,학력무관,,,,장애인만 채용,고령자,계약직 (12개월),청소,"신한투자증권 영업부 청소 (구체적으로 화장실 청소, 계단 청소 등)",,,"서울특별시 영등포구 의사당대로 96, 41층 영업부 (여의도동)","주 5일, 평일 06:30 ~ 10:30 (협의가능)","파트타임 (4시간 근무, 휴게시간 1시간 포함)",1. 여성근로자 매달 유급 보건휴가 1일 제공 2. 명절 귀성비 지급 (회사 사정에 따라 변경될 수 있음),12개월 (1년 후 재계약 여부 판단),"월급 1,050,000원 이상 ~ 1,050,000원 이하",12개월,,,서울남부고용센터,02-2639-2446,kwonej@shinhan.com,~ 채용시까지,"이력서 제출 (이메일, 팩스, 워크넷, 기타)",,,"['지체장애(경증)', '뇌병변장애(경증)']","['청각장애(중증)', '정신장애']","증권 발행, 관리, 보관 및 거래 지원 서비스업",2621 명,김상태,대기업,"07321 서울특별시 영등포구 의사당대로 96, 39층 인사부 (여의도동)"
경영·사무·금융·보험,안전환경팀 사무보조 모집,"한화컨버전스 주식회사 (Hanwha Convergence Co., Ltd.)",관계없음,학력무관,,,,장애인만 채용,운전면허증,기간의 정함이 있는 근로계약 12 개월,,"안전 및 보건 관리 업무 지원, 안전보건경영시스템 및 환경경영시스템 유지 업무 지원 등",,,"(18487) 경기도 화성시 동탄산단4길 9-10, 한화컨버전스 (방교동)","주 5일, (오전) 8시 30분 ~ (오후) 5시 30분",평일 주 5일 근무,통근버스,,"연봉 30,000,000원 이상 ~ 30,000,000원 이하",,,"장애인용 주차장, 건물 내부 경사로",,070-8672-2773,,~ 채용시까지,워크넷,,https://www.ablejob.co.kr/recruit/hanwhaconvergence.com,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '시각장애(경증)', '시각장애(중증)']",시스템 소프트웨어 개발 및 공급업,300 명,김창연,대기업,"18449 경기도 화성시 삼성1로3길 7 9-10, 한화컨버전스 (석우동)"
미용·여행·숙박·음식·경비·돌봄·청소,70대 4등급 남자어르신 요양보호사 구인드립니다,효자매노인복지재가센터,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약(시간(선택)제),요양보호사,환경청결 유지 및 식사 도움 서비스,,,"(21011) 인천광역시 계양구 당미길 43, 아파트 105동 (동양동, 동양동 휴먼빌아파트)","주 5일 근무, (정오) 12시 00분 ~ (오후) 3시 00분",,,,"시급 9,860원 이상, 급여 : 13,000원 (기본시급 + 주차수당 + 기타 수당 포함)",,,,,031-402-1771,,~ 채용시까지,기타(전화),,,"['지체장애(경증)', '뇌병변장애(경증)', '언어장애(경증)']","['청각장애(중증)', '정신장애']",그 외 기타 비거주 복지 서비스업,75 명,지명숙,,"14988 경기도 시흥시 목감남서로 9-19, 6층 603,604호 (조남동, 메이저타워)"
미용·여행·숙박·음식·경비·돌봄·청소,카페매니저(장애인만 채용),예술유통협동조합,경력 (최소1년) 필수,학력무관,여성,,,장애인만 채용,커피바리스타 자격증 소지자 우대,기간의 정함이 있는 근로계약(시간(선택)제) 5 개월,"카페매니저, 바리스타",카페 운영 및 관리,,,광주광역시 동구,"평일 (오후) 1시 00분 ~ (오후) 6시 00분, 주 5일 근무",시간제 (주 25시간),기타(근로자 역량강화),2024.12.31까지,"월급 1,720,000원 이상 ~ 1,720,000원 이하",,,"장애인용 주차장, 장애인용 승강기, 장애인용 화장실",(새일)광주새일센터,062-511-0001,,~ 채용시까지,"워크넷, 이메일",,,"['지체장애(경증)', '언어장애(경증)']","['시각장애(중증)', '청각장애(중증)']",그 외 기타 창작 및 예술관련 서비스업,11 명,장경문,중소기업,"61420 광주광역시 동구 중흥로 239, 1층, 3층 (계림동)"
미용·여행·숙박·음식·경비·돌봄·청소,[장애인만 채용] 신한투자증권 신한PWM도곡센터 미화직 1명 채용,신한투자증권(주）,관계없음,학력무관,,,,장애인만 채용,고령자,계약직 12개월,청소,신한투자증권 신한PWM도곡센터 청소,,,"(06292) 서울특별시 강남구 도곡동 언주로30길 39, 7층 삼성SEI빌딩 (도곡동)",월-금요일 06:30 ~ 10:30 (협의가능),"주 5일, 하루 4시간 근무 (휴게시간 포함)","여성근로자 매달 유급 보건휴가 1일 제공, 명절 귀성비 지급",12개월,"월급 1,050,000원 이상 ~ 1,050,000원 이하",,,,,02-3772-2529,kwonej@shinhan.com,~ 채용시까지,"이력서를 이메일(kwonej@shinhan.com)로 제출, 워크넷 입사지원",,,"['지체장애(경증)', '시각장애(경증)']","['내부장애(중증)', '정신장애']","증권 발행, 관리, 보관 및 거래 지원 서비스업",2621 명,김상태,대기업,"07321 서울특별시 영등포구 의사당대로 96, 39층 인사부 (여의도동)"
미용·여행·숙박·음식·경비·돌봄·청소,[장애인만 채용] 신한투자증권 마곡역지점 미화직 1명 채용,신한투자증권(주）,관계없음,학력무관,,,,장애인만 채용,고령자,계약직 (12개월),미화직,신한투자증권 마곡역지점 청소,,,"(07801) 서울특별시 강서구 마곡동 공항대로 195, 2층 신한투자증권 마곡역지점 (마곡동)","주 5일, 월-금요일 06:30 ~ 10:30 (협의가능), 휴게시간 9:30 ~ 10:30","파트타임 (4시간, 휴게시간 포함)","여성근로자 유급 보건휴가 1일 제공, 명절 귀성비 지급",계약직 12개월 (1년 후 재계약 여부 판단),"월급 1,050,000원 이상 ~ 1,050,000원 이하",,,,,02-3772-2529,kwonej@shinhan.com,~ 채용시까지,"이메일, 워크넷, 팩스",,,"['지체장애(경증)', '청각장애(경증)', '언어장애(경증)']","['뇌병변장애(중증)', '정신장애']","증권 발행, 관리, 보관 및 거래 지원 서비스업",2621 명,김상태,대기업,"07321 서울특별시 영등포구 의사당대로 96, 39층 인사부 (여의도동)"
미용·여행·숙박·음식·경비·돌봄·청소,용인시 처인구(디티앤씨)사내 청소 미화직 모집,(주)디티앤씨,관계없음,학력무관,,,,장애인만 채용,운전면허증,기간의 정함이 있는 근로계약(시간(선택)제) 3개월,"청소, 미화",(주)디티앤씨 건물 실내 청소업무,,,"경기도 용인시 처인구 유림로154번길 42, (주)디티앤씨 (유방동)","주 5일 근무, (오전) 7시 30분 ~ (정오) 12시 00분",시간제,"통근버스 제공, 중식 제공",3개월 단위 계약 연장 가능,"월급 1,050,000원 이상 ~ 1,050,000원 이하",,,,,031-329-3491,,~ 2024-08-30,"워크넷, 기타",,https://www.ablejob.co.kr/recruit/www.dtnc.co.kr,"['지체장애(경증)', '청각장애(경증)']","['뇌병변장애(중증)', '정신장애']",기타 엔지니어링 서비스업,280명,정업준,중소기업,"17042 경기도 용인시 처인구 유림로154번길 42, (유방동)"
설치·정비·생산·화학·환경·섬유·의복·식품가공,장애인근로자(생산직) 모집,주식회사하얀나라,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약(시간(선택)제),생산직,물티슈/핸드타월/냅킨/점보롤 생산 업무,,,전라남도 화순군 동면 농소길 37,주 5일 근무 (오전) 9시 00분~(오후) 1시 00분 / (오후) 1시 00분~(오후) 5시 00분,시간제,,,"시급 9,860원 이상 ~ 9,860원 이하",,,,,061-372-6635,,~ 채용시까지,"방문, 워크넷",,,"['지체장애(경증)', '청각장애(경증)']","['내부장애(중증)', '정신장애']",그 외 기타 생활용품 도매업,19 명,윤여호,중소기업,"58143 전라남도 화순군 동면 농소길 37, 주식회사 하얀나라 1층"
미용·여행·숙박·음식·경비·돌봄·청소,사무실 청소원 모집,(주)영시큐리티,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약(시간(선택)제),사무실 청소원,"사무실 내부 청소, 쓰레기통 비우기, 바닥 쓸고 닦기, 쓰레기 분리 배출 및 주기적 청소",,,"(13558) 경기도 성남시 분당구 정자동 성남대로331번길 9-10, 신혜빌딩 2층. 신한라이프 수원사업단 (정자동)",평일 (오전) 6시 00분 ~ (오전) 8시 00분,"주 5일 근무, 평균근무시간 : 10시간",,,"월급 781,000원 이상 ~ 781,000원 이하",,,,,,,~ 채용시까지,"팩스, 워크넷, 이메일",,http://www.0security.co.kr/,"['지체장애(경증)', '청각장애(경증)', '뇌병변장애(경증)']","['지체장애(중증)', '청각장애(중증)', '뇌병변장애(중증)']",경비 및 경호 서비스업,211 명,신은희,중소기업,13506 경기도 성남시 분당구 성남대로916번길 11 (현황8층)
미용·여행·숙박·음식·경비·돌봄·청소,"(장애인전형,구로)TP그룹 환경관리 모집",나라에이치알,경력무관,학력무관,,,,장애인만 채용 심한 장애,인근 거주자 우대 식당 및 매장직 근무 경력자 우대,계약직,환경 관리,"테이블 청소, 바닥청소(더러워진 곳만), 소모품 보층(휴지, 종이컵)",사원급,팀원,서울 구로구,"월~금(주5일, 공휴일 휴무), 10:00~13:55",,근무복 제공 등,,"시급 12,000원",1년,,,현주영,,manager@narahr.com,2024.07.31 ~ 2024.08.12,"장애인채용포털 접수, 이메일",서류전형 → 면접전형 → 최종합격,https://www.ablejob.co.kr/,"['지체장애(중증)', '뇌병변장애(중증)']","['청각장애(중증)', '언어장애(중증)']",정보통신업,27명,,중소기업,경기 성남시 분당구 장미로 86
경영·사무·금융·보험,[JNPMEDI] 장애인채용 인사총무 사무지원,제이앤피메디,신입 경력무관,학력무관,,,,장애정도 무관,"컴퓨터 활용우수자, 꼼꼼한 성격",아르바이트,팀원,"인사 업무 관련 지원, 사내 비품 및 소모품 재고 관리, 사무실 환경 유지 및 관리, 총무 관련 업무 (우편물 관리/사내 간식 준비 등)",사원급,,인천 연수구,오후 1~5시 (주 5일) 주 5일,,중식 제공,,연봉 (면접 시 협의),,,"장애인용 화장실, 장애인용 승강기, 모션데스크 등",임석택,010-2822-1769,career@jnpmedi.com,2024.07.31 ~ (채용 시 마감),자사 홈페이지,,https://www.jnp.team/o/115132,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)']","['지체장애(중증)', '청각장애(중증)', '정신장애']",,,,,"인천 연수구 컨벤시아대로 165, 31층"
미용·여행·숙박·음식·경비·돌봄·청소,[다담리테일] 본부 미화사원 구인(장애인 채용),주식회사 다담리테일,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약,미화,"전반적인 청소 (화장실, 계단, 휴게실 등 청소)",,,(62216) 광주광역시 광산구 손재로 436-68 (오선동),"주 5일 근무, 10:00~16:00 (휴게1시간 포함)",주 5일 근무,"법정공휴일 유급 휴무, 연차 발생, 식사 제공",,"월급 1,400,000원 이상 ~ 1,400,000원 이하",,,,(유관기관-중장년내일센터)(사)광주경영자총협회_광주광산,062-960-3250,,~ 20240815,워크넷,,,"['지체장애(경증)', '시각장애(경증)', '청각장애(경증)', '언어장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '정신장애']",기타 가공식품 도매업,120 명,임장택,중소기업,62216 광주광역시 광산구 손재로 436-68 (오선동)
미용·여행·숙박·음식·경비·돌봄·청소,다담식자재마트 풍암 소분장 청소직원 구인(장애인 채용),주식회사 다담리테일,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약,청소,"전반적인 청소 (화장실, 계단, 휴게실 등 청소)",,,"(62072) 광주광역시 서구 매월1로49번길 28, 다담농산물집하센터 (매월동)",평일 : 10:00~16:00 (휴게시간 1시간 포함),주 5일 근무,"법정공휴일 유급 휴무, 연차 발생",,"월급 1,500,000원 이상 ~ 1,500,000원 이하, 식대 10만원 별도",,,,(유관기관-중장년내일센터)(사)광주경영자총협회_광주광산,062-960-3250,,~ 20240815,워크넷,,,"['지체장애(경증)', '시각장애(경증)']","['뇌병변장애(중증)', '청각장애(중증)']",기타 가공식품 도매업,120 명,임장택,중소기업,62216 광주광역시 광산구 손재로 436-68 (오선동)
미용·여행·숙박·음식·경비·돌봄·청소,[성남동] 4등급 할아버지 요양보호사 구인,돌보인방문요양센터분당점,관계없음,학력무관,,,,장애인 병행채용,복지카드 소지자 우대,기간의 정함이 없는 근로계약,요양보호사,어르신 점심식사 도움 및 주변 청결 유지,,,"(13366) 경기도 성남시 중원구 둔촌대로101번길 28-17, 1 (성남동)","평일 : (오전) 10시 00분 ~ (오후) 1시 00분, 주 5일 근무",,,,"시급 12,450원 이상 ~ 12,450원 이하",,,,,031-702-3381,,~ 20240813,"방문, 기타(010-6451-9909)",,,"['지체장애(경증)', '뇌병변장애(경증)']",['정신장애'],방문 복지서비스 제공업,70 명,최상덕,,"13497 경기도 성남시 분당구 성남대로925번길 19, 터미널프라자 302호 (야탑동)"
교육·법률·사회복지·경찰·소방 및 군인,[중증장애인/월100만/재택] 독거노인 안부전화 상담직 채용,주식회사잡스랩,관계없음,학력무관,무관,무관,무관,중증장애인만 지원 가능,"의사소통 가능자, 컴퓨터 사용 가능자, 약속을 잘 지키고 신뢰를 줄 수 있는 분, 봉사의 마인드 소유자",계약직(최대 2년),상담직,"재택으로 독거노인들에게 전화하여 안부를 확인하고, 말벗을 해줌으로 인해 고독사를 예방",,,서울특별시 서초구 (재택근무),"주 5일, 일 4시간 근무 (협의 가능)",재택근무,"4대보험, 퇴직금",계약직 (최대 2년),"월급1,030,370원 이상",12개월 + 12개월 (최대 2년),재택근무,,,,,~ 채용시까지,"워크넷, 이메일",,,"['지체장애(중증)', '뇌병변장애(중증)', '청각장애(중증)']","['언어장애(중증)', '정신장애']",사업시설 유지․관리 서비스업,90 명,박경훈,중소기업,"06732 서울특별시 서초구 서운로 19 (서초동, 서초월드오피스텔)"
미용·여행·숙박·음식·경비·돌봄·청소,병원 구내식당 조리실 보조인력 모집,의료법인 효송의료재단 서안산노인전문병원,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약,조리실 보조인력,요양병원 내 구내식당 보조업무,,,경기도 안산시 단원구 원포공원로 54 (초지동),9시 30분~ 14시 00분,주 4일 (월~목),중식 제공,,"시급 9,860원 이상",,,"장애인용 주차장, 장애인용 승강기, 건물 내부 경사로, 장애인용 화장실",,070-4522-0305,,~ 채용시까지,"워크넷, 이메일",,https://www.ablejob.co.kr/recruit/www.sashospital.com,"['지체장애(경증)', '지체장애(중증)', '청각장애(경증)', '언어장애(경증)']","['시각장애(중증)', '뇌병변장애(중증)', '정신장애']",요양 병원,130 명,임선영,중소기업,15455 경기도 안산시 단원구 원포공원로 54 (초지동)
보건·의료,가온요양병원 환자이송팀 사원모집,가온요양병원,신입,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약 1 개월 / 계약기간 만료 후 상용직 전환 검토,,병실에서 환자를 휠체어로 이동시키는 업무,,,인천광역시 남동구,"주 5일 근무, 월화수목금 08:00~17:00 (휴게시간 1.5시간)",,통상적인 연/월차 사용 가능,"1개월 단기 계약, 1년 계약 전환 검토","연봉 24,728,880원 이상 ~ 24,728,880원 이하",,,,,032-212-2001,,~ 2024-08-30,"방문, 팩스, 워크넷",,https://www.gaonhospital.co.kr/,"['지체장애(경증)', '지체장애(중증)']","['청각장애(경증)', '청각장애(중증)', '언어장애(경증)', '언어장애(중증)']",요양 병원,120 명,강승훈,중소기업,21555 인천광역시 남동구 남동대로 797 (구월동)
예술·디자인·방송·스포츠,(주)에뛰드 웹디자이너 계약직 담당 모집,(주)에뛰드,관계없음,학력무관,,,디자인 전공자 우대,장애인만 채용,"시각디자인 전공자, 웹디자인 경험자, 웹퍼블리싱 가능자 우대",기간의 정함이 있는 근로계약 (3개월),웹디자이너,"제품 상세페이지 및 썸네일 디자인, 온라인 이벤트 프로모션 배너 및 기획전 디자인, 자사몰 상품 등록 및 유지보수, 간단한 영상 편집 및 이미지 리터칭, 간단한 웹퍼블리싱",,,"(04386) 서울특별시 용산구 한강대로 100, 아모레퍼시픽 사옥 6층 (한강로2가)","평일: (오전) 9시 00분 ~ (오후) 6시 00분, 주 5일 근무",정규직,"경조사 지원, 생일자 선물, 단체상해보험, 휴양시설(대명콘도) 회원가 이용, 중‧석식 무료, 조식(1천원) 제공 등",3개월,"월급 2,080,000원 이상 ~ 2,080,000원 이하",3개월,,장애인용 주차장,,,,~ 채용시까지,워크넷,,,"['지체장애(경증)', '청각장애(경증)']","['뇌병변장애(중증)', '언어장애(중증)']",화장품 및 화장용품 도매업,113 명,이수연,중견기업,"04386 서울특별시 용산구 한강대로 100, 서울 용산구 한강대로 100 (한강로2가)"
보건·의료,광주광역시 장애인 건강검진 병원동행 아르바이트 모집,광주광역시공공보건의료지원단,경력무관,학력무관,,,,장애인만 채용,"장애인 활동지원사, 요양보호사, 사회복지사, 재활치료사, 간호조무사",아르바이트,,"병원 건강검진 접수, 수납 지원 및 건강검진 휠체어, 검진침대 이동 지원",,,광주 남구,,,,,시급 (면접 시 협의),,,,,,,,,서류전형 > 면접 > 최종합격 (면접일정은 추후 통보),,"['지체장애(경증)', '지체장애(중증)', '뇌병변장애(경증)', '뇌병변장애(중증)']","['청각장애(중증)', '언어장애(중증)', '정신장애']",,,,,
기타,장애인자립생활센터 센터장 구인[울주군청채용대행],울산울주군장애인자립생활센터,경력 (최소 3년) 필수,학력무관,,,,장애인만 채용,"사회복지사 자격증 소지, 울주군 거주",기간의 정함이 없는 근로계약,센터장,"전반적인 센터관리운영, 근무시간: 9:00~18:00",,,"울산광역시 울주군 범서읍 대리3길 20-9, 1층","주 5일 근무, (오전) 9시 00분 ~ (오후) 6시 00분",주 40시간,"4대보험 가입예정, 명절상여금",,"월급 2,380,000원 이상 ~ 2,380,000원 이하",,,,울산광역시 울주군청,052-204-1376,,2024.08.01 ~ 2024.08.15 18시까지,"워크넷, 자사채용사이트, 울주군일자리안내지원센터 연락",,,"['지체장애(경증)', '뇌병변장애(경증)', '정신장애']","['지적장애', '자폐성장애']",그 외 기타 비거주 복지 서비스업,3 명,성현정,,"44922 울산광역시 울주군 범서읍 대리3길 20-9, 1층"
미용·여행·숙박·음식·경비·돌봄·청소,[장애인만 채용] 신한투자증권 영업부 미화직 채용,신한투자증권(주),관계없음,학력무관,,,,장애인만 채용,고령자,계약직 12개월,미화직 (청소),"신한투자증권 영업부 청소, 건물 청소 (화장실청소, 계단청소 등)",,,"(07321) 서울특별시 영등포구 의사당대로 96, 41층 영업부 (여의도동)",평일 : 06:30 ~ 10:30 (협의가능),"주 5일 근무, 평균 근무시간: 20시간",1. (여성근로자) 매달 유급 보건휴가 1일 제공 2. 명절 귀성비 지급,12개월,"월급 1,050,000원 이상 ~ 1,050,000원 이하",12개월,,,,02-3772-2529,kwonej@shinhan.com,~ 채용시까지,"이메일 또는 팩스, 워크넷 지원",,,"['지체장애(경증)', '언어장애(경증)', '청각장애(경증)']","['뇌병변장애(중증)', '정신장애']","증권 발행, 관리, 보관 및 거래 지원 서비스업",2621 명,김상태,대기업,"07321 서울특별시 영등포구 의사당대로 96, 39층 인사부 (여의도동)"
경영·사무·금융·보험,[장애인채용] 안전환경팀 사무보조 모집,"한화컨버전스 주식회사 (Hanwha Convergence Co., Ltd.)",관계없음,학력무관,,,,장애인만 채용,"운전면허증, 안전 및 보건 관련 기초 지식 보유자, 산업안전기사 등 관련 자격증 보유자, Office 활용 능력",기간의 정함이 있는 근로계약(12개월),사무보조,"['안전 및 보건 관리 지원', '산업안전보건법 및 중대재해처벌법 등 관계 법령 이행 업무 지원', '안전보건경영시스템 및 환경경영시스템 유지 업무 지원', '기타 안전보건 업무 지원']",,,"경기도 화성시 동탄산단4길 9-10, 한화컨버전스 (방교동)","주 5일 근무, (오전) 8시 30분 ~ (오후) 5시 30분, 평균 근무시간: 40시간",정규직,통근버스,12개월,"연봉 30,000,000원 이상 ~ 30,000,000원 이하",,,"장애인용 주차장, 건물 내부 경사로",,070-8672-2773,,~ 채용시까지,워크넷,,https://www.ablejob.co.kr/recruit/hanwhaconvergence.com,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '정신장애']",시스템 소프트웨어 개발 및 공급업,300 명,김창연,대기업,"18449 경기도 화성시 삼성1로3길 7 9-10, 한화컨버전스 (석우동)"
미용·여행·숙박·음식·경비·돌봄·청소,카페매니저(장애인만 채용),예술유통협동조합,경력 (최소1년) 필수,학력무관,여성장애인,,,장애인만 채용,커피바리스타 자격증 소지자 우대,기간의 정함이 있는 근로계약 (5 개월),카페매니저/바리스타,[직무내용] 카페 운영 및 관리,,,"(61420) 광주광역시 동구 중흥로 239, 1층 (계림동)","오후 1시 00분 ~ 오후 6시 00분, 주 5일 근무, 평균 근무시간: 25시간",주 5일 근무,기타(근로자 역량강화),근무일 ~ 2024.12.31,"월급 1,720,000원 이상 ~ 1,720,000원 이하",5 개월,,"장애인용 주차장, 장애인용 승강기, 장애인용 화장실",(새일)광주새일센터,070-4048-6976,,~ 채용시까지,"워크넷, 이메일",,,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '시각장애(경증)', '시각장애(중증)']",그 외 기타 창작 및 예술관련 서비스업,11 명,장경문,중소기업,"61420 광주광역시 동구 중흥로 239, 1층, 3층 (계림동)"
기타,사회적기업 두리함께와 함께할 직원 모집,두리함께 주식회사,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 없는 근로계약(시간(선택)제),신입(경력) 직원,정규직 직원,,,제주 제주시 오도5길 2,"주 5일 근무, 유연근무(시간대 협의)","주 5일, 평균 근무시간: 20시간",,,"월급 1,040,000원 이상 ~ 1,040,000원 이하",,,,,064-742-0078,,~ 채용시까지,워크넷,,http://www.jejudoori.com/,"['지체장애(경증)', '청각장애(경증)']",['정신장애'],여행사업,18 명,이광호,중소기업,63109 제주특별자치도 제주시 오도5길 2 (이호이동)
미용·여행·숙박·음식·경비·돌봄·청소,(장애인)단순 물품 정리정돈 근로자 모집,연연칠백리주식회사,관계없음,학력무관,,,,장애인만 채용,신체활동 가능자 선호,기간의 정함이 없는 근로계약(시간(선택)제),단순 물품 정리 정돈,"단순 정리작업(섬유, 피복류 소품 정리)",,,(53207) 경상남도 거제시 연초면 오비3길 21-1,"주 5일, (오전) 8시 00분 ~ (오후) 4시 00분",시간(선택)제,"통근버스, 중식 제공",,"시급 9,860원 이상",,,장애인용 화장실,,"055-634-2255, 010-5695-1303",,~ 채용시까지,"방문, 팩스, 이메일",,,"['지체장애(경증)', '뇌병변장애(경증)', '청각장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)', '시각장애(중증)']",가죽의복 제조업,13 명,유원관,중소기업,53207 경상남도 거제시 연초면 오비3길 21-1
경영·사무·금융·보험,"[중증장애인 재택근무자 채용] 온라인 홍보마케팅, 자료조사 단순 업무",(주)맨파워코리아,관계없음,학력무관,,,,장애인만 채용,,기간의 정함이 있는 근로계약(3 개월),"온라인 홍보 마케팅, 자료조사",온라인 홍보 마케팅 및 간단한 자료수집,,,서울특별시 강남구,"주 5일, (오전) 9시 00분 ~ (오후) 1시 30분, 총 20시간",,,최대 24개월까지 연장 가능,"월급 1,065,300원 이상 ~ 1,115,300원 이하",,,,,070-5227-5817,,~ 2024-08-15,"워크넷, 이메일",,http://www.manpower.co.kr/,"['지체장애(중증)', '뇌병변장애(중증)', '정신장애']","['시각장애(중증)', '청각장애(중증)']",임시 및 일용 인력 공급업,45 명,문용기,중견기업,"06162 서울특별시 강남구 테헤란로 409 (삼성동, ,29,30 동신빌딩11층)"
미용·여행·숙박·음식·경비·돌봄·청소,시내버스 차고지 건물 및 차량 청소원 구합니다.,서부운수(주),관계없음,학력무관,,,,장애인만 채용,장애인 우대,기간의 정함이 있는 근로계약 (12 개월),청소원,버스 차고지 차량 및 건물 청소,,,(03680) 서울특별시 서대문구 응암로1길 17 (북가좌동),"주 5일 근무, (오전) 7시 00분 ~ (오후) 3시 00분",정상근무,"4대보험, 중식 제공",,"월급 1,806,000원 이상 ~ 1,810,000원 이하",12개월,,,,02-372-0221,,~ 채용시까지,워크넷,,,"['지체장애(경증)', '지적장애']","['청각장애(중증)', '시각장애(중증)']",시내버스 운송업,160 명,한진희,중소기업,03680 서울특별시 서대문구 응암로1길 17 (북가좌동)
미용·여행·숙박·음식·경비·돌봄·청소,[콘래드서울] 식음부서 및 조리부 직원 모집 - 장애인 채용,에스아이에프씨호텔디벨로프먼트유한회사(SIFCHotel),관계없음,학력무관,,,,장애인만 채용,복지카드 소지자 필수,기간의 정함이 있는 근로계약,식음부서 및 조리부 직원,1. 식음부서 Waiter/Waitress 서비스 보조 2. 조리부 Commis 주방 보조,,,"(07326) 서울특별시 영등포구 국제금융로 10, 17 (여의도동, 콘래드서울)","일 8시간, 주 40시간, 주 5일 근무",스케줄 근무,,24개월,"시급 9,860원 이상",,,,서울남부고용센터,02-2639-2446,SELCI.Recruitment@ConradHotels.com,~ 20240831,팩스 또는 메일 지원,,https://www.ablejob.co.kr/recruit/www.conradseoul.co.kr,"['지체장애(경증)', '청각장애(경증)']","['지체장애(중증)', '뇌병변장애(중증)']",호텔업,400 명,ANDREW NICHOLAS BURYCH(앤드류),중견기업,"07326 서울특별시 영등포구 국제금융로 10, 17 (여의도동, 콘래드서울)"
